EXTRA;EXTRA;;
;CHAMP UNIVERSITAIRE;;
;;ENSEIGNEMENT;
;;;1;chargé de cours ENA
;;;2;chargé de cours HEC
;;;3;chargé de cours Institut Administration Publique
;;;4;chargé de cours St Cyr
;;;5;chargé de cours ENSAE
;;;6;chargé de cours ENPC
;;;7;chargé de cours X
;;;8;chargé de cours INALCO
;;;9;Chargé de cours ENS
;;;10;chargé de cours fac
;;;12;
;;;13
;;CONSEIL ADM - SCIENT
;;;14;CNRS
;;;15;Presse
;;;16;ENA
;;;17;IEP
;;;18;Ecoles Commerce
;;;19;X
;;;20;Institut Publiq d'Admin
;;;21;Dans fac : psdt, vpsdt, doyen, psdt département
;;;22;Dans monde universitaire : CNU, CSU, Jurys
;;;23;Dans Ministère ES : commissions de programmes, consultation
;;;24;Evaluation : AERES, ANR
;;;25;Associations disciplinaires
;;REVUES CTE REDACTION
;;;26
;;;27
;;EDITION
;;;28;directeur de collection
;;EXPERTISE
;;;30;gvnt
;;;31;banq
;;;32;industrie
;;;33;organisme international
;CHAMP CULTUREL;MEDIATIQUE
;;;35;chroniqueur presse
;;;36;chroniqueur radio -TV
;;;34;CA direction radio- TV - presse
;;CONSECRATION
;;;38;académie sciences morales et politiques
;;;39;CSA
;;MECENAT
;;;40;Conseil d'adm et Amis de (culture)
;;;41;Conseil économique et social
;CHAMP POLITIQUE;
;;;42;Commission ad hoc
;CHAMP ECONOMIQUE;CONSEIL ADMINISTRATION
;;;45banque, finance, assurance
;;;46;groupe industriel
;;;47;CNPF-MEDEF
;;;48;Clubs de réflexion patronaux (Institut Montaigne, Institut Aspen, Fondation Innovation, Institut La Boétie, Le siècle)
;;;49;Corporation : associations professionnelles
;CHAMP LOBBYING;RELIGIEUX et COMMUNAUTAIRE
;;;50;CRIF - CFJ
;;;51;Catholique (Amis - Sté Royaumont - Semaines sociales
;;SYNDICAL
;;;55;syndicat du travail
;;;
;;ONG
;;;58;ONG
;;CLUBS intellectuels
;;;60;clubs réflexion intellectuels
;;POLITIQUE
;;;61;Europe : Notre Europe   - Fondation Schuman
;;;62;Alter : ATTAC         
;;;63;Extrême droite / monarchiste: Action française        
;;;64;Ecolo
;;;65;Socialiste
;;ETRANGER
;;;68;pro-usa 
;;;69;francafrique
